Model,MSE,MAE,R2,Actual_Sharpe,Predicted_Sharpe
DecisionTreeRegressor,1763613.9892774955,452.5828331083019,-0.2994555432533625,0.044109204265622676,0.009775464710555362
GradientBoostingRegressor,1841886.9333017736,455.56533824122903,-0.21206448809387984,0.044109204265622676,0.017422337120641326
LinearRegression,4047.8176097364367,27.304648122219618,0.9613208293927599,0.044109204265622676,0.04355309847946971
RandomForestRegressor,1799594.6507926853,451.689145444777,-0.23496695367526843,0.044109204265622676,0.01865436204707162
Ridge,4047.817333028953,27.305483594784693,-0.5942169508117063,0.044109204265622676,0.0446912552483189
